"V1" "V2"
"1" 514.12711161268 482.308601484527
"2" 359 771
"3" 529.4562592449 676.011141781097
"4" 358 828
"5" 300 917
"6" 208 792
"7" 264.615122447994 722.332397062096
"8" 242 847
"9" 450.763915630712 854.572753428489
"10" 966 553
"11" 229.320927545418 90.3091698875597
"12" 437 738
"13" 428.167048646307 386.359109587453
"14" 950.636638027946 303.560544573805
"15" 731.203637522181 558.96615512589
"16" 771.768957415481 139.954713424208
"17" 581 773
"18" 129.057465401079 592.738834981345
"19" 789.808784191516 497.506004775174
"20" 478.500382022975 616.323189294734
"21" 115 399
"22" 833.455790670772 770.098683579522
"23" 600.590874424158 519.754922408433
"24" 498.99857598774 897.677666205712
"25" 158.905967675565 229.414196183204
"26" 224 486
"27" 406.837319687364 111.533116029812
"28" 518.123014262824 814.465416123755
"29" 770.890880232913 818.802281613242
"30" 967 357
"31" 547.236412284958 94.7522058541368
"32" 359 460
"33" 84 357
"34" 849.268075553563 402.437143140683
"35" 848.247204028038 699.330385682596
"36" 309.101761417939 35.6266050550631
"37" 318.355671335977 536.5571857822
"38" 667 116
"39" 156 316
"40" 683.039515844662 919.486902829002
"41" 677.495027385276 715.936502971453
"42" 528 0
"43" 325 363
"44" 74.2380632775235 485.532670104483
"45" 764.4311268776 44.9914508881659
"46" 725.248656394343 853.654263190317
"47" 856.477960778777 610.288835203195
"48" 835 243
"49" 136 278
"50" 512 956
"51" 262 189
"52" 32 543
"53" 651 25
"54" 606.512612664052 870.802675486924
"55" 961 667
"56" 150 753
"57" 745.300311446116 637.986682905097
"58" 709.575742786378 436.062683093389
"59" 865 192
"60" 895 114
"61" 665 377
"62" 110 666
"63" 936 452
"64" 243.566615631104 619.342521372122
"65" 358.12784236337 654.270450477221
"66" 437 66
"67" 350 289
